제공 기업/기관,API 이름,데이터 제공처 / API 링크,요청 방식,응답 포맷,신청 필요 여부,비고
과학기술정보통신부,사업공고 정보 조회 API,https://www.data.go.kr/data/15074634/openapi.do ,REST API,JSON + XML,필요 (API Key),"과학기술정보통신부에서 제공하는 사업공고 정보 조회 API 서비스입니다. 정부가 추진하는 각종 R&D 사업, 국제협력사업, 인프라구축사업 등의 공모 정보를 실시간으로 제공하여 기업, 대학, 연구기관 등이 정부 지원사업에 적시에 참여할 수 있도록 기회 정보를 투명하게 공개합니다."
기획재정부 ,국고보조금 정보 API,"https://www.bojo.go.kr/bojo.do#mark2
https://www.data.go.kr/data/15097584/openapi.do",REST API,JSON + XML,필요 (API Key),"국가가 특정 사업,사무를 장려하기 위해 지방자치단체와 민간에게 지원하는 재원(국고보조금)의 내역 그리고 그 재원을 활용한 보조사업 등의 정보"
국토교통부,건설정보 분야 사전정보공개 API,https://www.data.go.kr/data/15109355/openapi.do,REST API,JSON + XML,필요 (API Key),"검색어, 데이터 등록일, 상세분류코드를 이용하여 국토교통부 사전정보공개 건설분야 데이터에 해당하는 데이터의 제목, 카테고리, 키워드, 제공기관, 원본등록일, 제공페이지 URL, 첨부파일명, 다운로드 URL을 조회할 수 있는 국토교통부 사전정보공개 건설분야 데이터 조회 서비스 입니다."
국토교통부,건설기술사례정보 API,https://www.data.go.kr/data/15067161/openapi.do,REST API,JSON + XML,필요 (API Key),"건설사업 설계․시공에 필요한 기술 사항들에 대해 작성한 절차서, 지침서, 기술지도서 등의 정보 제공건설현장에서 수집한 각종 시공계획서, 현장시공사례, 건설공사지 등의 정보 제공"
