공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00583900,(혁신) 2024년 교육시설 환경개선사업(예음관 1층 화장실) 건축 공사,신라대학교,조달청 또는 나라장터 자체 공고건,(혁신) 2024년 교육시설 환경개선사업(예음관 1층 화장실) 건축 공사,"혁신,2024년,교육시설,환경개선사업,예음관,1층,화장실,건축,공사",https://www.data.go.kr/data/15129394/openapi.do#/,,"['혁신', '2024년', '교육시설', '환경개선사업', '예음관', '1층', '화장실', '건축', '공사']",bid_list_converted.csv
R25BK00580636,거제초등학교 일원 보도확장 공사,부산광역시 연제구,조달청 또는 나라장터 자체 공고건,거제초등학교 일원 보도확장 공사,"거제초등학교,일원,보도확장,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-22 12:00:00,"['거제초등학교', '일원', '보도확장', '공사']",bid_list_converted.csv
R25BK00583914,자은초 외 1교(자은중) 드라이비트 교체공사,전라남도교육청 전라남도신안교육지원청,조달청 또는 나라장터 자체 공고건,자은초 외 1교(자은중) 드라이비트 교체공사,"자은초,1교,자은중,드라이비트,교체공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['자은초', '1교', '자은중', '드라이비트', '교체공사']",bid_list_converted.csv
R25BK00583907,서구 실버복합문화센터 건립 통신공사,부산광역시 서구,조달청 또는 나라장터 자체 공고건,서구 실버복합문화센터 건립 통신공사,"서구,실버복합문화센터,건립,통신공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-22 10:00:00,"['서구', '실버복합문화센터', '건립', '통신공사']",bid_list_converted.csv
R25BK00580658,대구남송초등학교 내진보강 및 기타 환경개선 전기공사,대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,대구남송초등학교 내진보강 및 기타 환경개선 전기공사,"대구남송초등학교,내진보강,기타,환경개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['대구남송초등학교', '내진보강', '기타', '환경개선', '전기공사']",bid_list_converted.csv
R25BK00583891,2025년 관내 도로 노면 재포장 단가계약 1차 풍양권역,경기도 남양주시 도로관리사업소,조달청 또는 나라장터 자체 공고건,2025년 관내 도로 노면 재포장 단가계약 1차 풍양권역,"2025년,관내,도로,노면,재포장,단가계약,1차,풍양권역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '관내', '도로', '노면', '재포장', '단가계약', '1차', '풍양권역']",bid_list_converted.csv
R25BK00580687,대구대진초등학교 화장실개선 기계설비공사,대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,대구대진초등학교 화장실개선 기계설비공사,"대구대진초등학교,화장실개선,기계설비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['대구대진초등학교', '화장실개선', '기계설비공사']",bid_list_converted.csv
R25BK00583911,2025년 처인구 어린이보호구역 유지보수 연간단가공사,경기도 용인시 처인구,조달청 또는 나라장터 자체 공고건,2025년 처인구 어린이보호구역 유지보수 연간단가공사,"2025년,처인구,어린이보호구역,유지보수,연간단가공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-23 10:00:00,"['2025년', '처인구', '어린이보호구역', '유지보수', '연간단가공사']",bid_list_converted.csv
R25BK00580610,2025년 처인구 승강장 및 횡단보도 정비 연간단가공사,경기도 용인시 처인구,조달청 또는 나라장터 자체 공고건,2025년 처인구 승강장 및 횡단보도 정비 연간단가공사,"2025년,처인구,승강장,횡단보도,정비,연간단가공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 10:00:00,"['2025년', '처인구', '승강장', '횡단보도', '정비', '연간단가공사']",bid_list_converted.csv
R25BK00580701,대구이곡초등학교 화장실개선 및 기타 기계설비공사,대구광역시교육청 대구광역시남부교육지원청,조달청 또는 나라장터 자체 공고건,대구이곡초등학교 화장실개선 및 기타 기계설비공사,"대구이곡초등학교,화장실개선,기타,기계설비공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['대구이곡초등학교', '화장실개선', '기타', '기계설비공사']",bid_list_converted.csv
