공고ID,사업명,주관부처,분야,사업설명,주요키워드,공고링크,마감일,키워드리스트,source
R25BK00553449,[가계통테스트]과천주암 C-2BL 공동주택,조달청,조달청 또는 나라장터 자체 공고건,[가계통테스트]과천주암 C-2BL 공동주택,"가계통테스트,과천주암,2BL,공동주택",https://www.data.go.kr/data/15129394/openapi.do#/,2025-02-21 15:00:00,"['가계통테스트', '과천주암', '2BL', '공동주택']",bid_list_converted.csv
R25BK00553514,[테스트]양산사송 A-7BL 아파트 건설공사 7공구,조달청,조달청 또는 나라장터 자체 공고건,[테스트]양산사송 A-7BL 아파트 건설공사 7공구,"테스트,양산사송,7BL,아파트,건설공사,7공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-02-21 15:00:00,"['테스트', '양산사송', '7BL', '아파트', '건설공사', '7공구']",bid_list_converted.csv
R25BK00553519,[개통테스트공고]부천대장 A-7BL 및 A-8BL 아파트 건설공사 1공구,조달청,조달청 또는 나라장터 자체 공고건,[개통테스트공고]부천대장 A-7BL 및 A-8BL 아파트 건설공사 1공구,"개통테스트공고,부천대장,7BL,8BL,아파트,건설공사,1공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['개통테스트공고', '부천대장', '7BL', '8BL', '아파트', '건설공사', '1공구']",bid_list_converted.csv
R25BK00553517,[테스트공고]구리갈매역세권 A-4BL 아파트 건설공사 2공구,조달청,조달청 또는 나라장터 자체 공고건,[테스트공고]구리갈매역세권 A-4BL 아파트 건설공사 2공구,"테스트공고,구리갈매역세권,4BL,아파트,건설공사,2공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['테스트공고', '구리갈매역세권', '4BL', '아파트', '건설공사', '2공구']",bid_list_converted.csv
R25BK00553542,익산고등학교 본관 창호 교체공사,전북특별자치도교육청 익산고등학교,조달청 또는 나라장터 자체 공고건,익산고등학교 본관 창호 교체공사,"익산고등학교,본관,창호,교체공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['익산고등학교', '본관', '창호', '교체공사']",bid_list_converted.csv
R25BK00553608,불암고등학교 교사동 방수공사 수의계약 견적공고,서울특별시교육청 불암고등학교,조달청 또는 나라장터 자체 공고건,불암고등학교 교사동 방수공사 수의계약 견적공고,"불암고등학교,교사동,방수공사,수의계약,견적공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['불암고등학교', '교사동', '방수공사', '수의계약', '견적공고']",bid_list_converted.csv
20241224044,송파 창의혁신 단지조성 가로등 및 교통신호등 전기공사,서울주택도시개발공사,조달청 또는 나라장터 자체 공고건,송파 창의혁신 단지조성 가로등 및 교통신호등 전기공사,"송파,창의혁신,단지조성,가로등,교통신호등,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-09 12:00:00,"['송파', '창의혁신', '단지조성', '가로등', '교통신호등', '전기공사']",bid_list_converted.csv
R25BK00553576,양산여자고등학교 본관동 내진보강 건축공사 입찰공고,경상남도교육청 양산여자고등학교,조달청 또는 나라장터 자체 공고건,양산여자고등학교 본관동 내진보강 건축공사 입찰공고,"양산여자고등학교,본관동,내진보강,건축공사,입찰공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['양산여자고등학교', '본관동', '내진보강', '건축공사', '입찰공고']",bid_list_converted.csv
R25BK00553414,"지방하천 대천(웅곡, 송삼지구) 수해복구공사",경상북도 구미시,조달청 또는 나라장터 자체 공고건,"지방하천 대천(웅곡, 송삼지구) 수해복구공사","지방하천,대천,웅곡,송삼지구,수해복구공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['지방하천', '대천', '웅곡', '송삼지구', '수해복구공사']",bid_list_converted.csv
R25BK00554200,"서울시립대학교 21세기관 509, 510호 강의실 전기공사",서울특별시 서울시립대학교 산학협력단,조달청 또는 나라장터 자체 공고건,"서울시립대학교 21세기관 509, 510호 강의실 전기공사","서울시립대학교,21세기관,509,510호,강의실,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-06 16:09:00,"['서울시립대학교', '21세기관', '509', '510호', '강의실', '전기공사']",bid_list_converted.csv
R25BK00553967,도암고등학교 예술놀이터 조성 공사,전북특별자치도교육청 동암고등학교,조달청 또는 나라장터 자체 공고건,도암고등학교 예술놀이터 조성 공사,"도암고등학교,예술놀이터,조성,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 12:00:00,"['도암고등학교', '예술놀이터', '조성', '공사']",bid_list_converted.csv
R25BK00553669,"[긴급]덕원여자고등학교 본관, 과학관동 바닥 개선공사",서울특별시교육청 덕원여자고등학교,조달청 또는 나라장터 자체 공고건,"[긴급]덕원여자고등학교 본관, 과학관동 바닥 개선공사","긴급,덕원여자고등학교,본관,과학관동,바닥,개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-14 14:00:00,"['긴급', '덕원여자고등학교', '본관', '과학관동', '바닥', '개선공사']",bid_list_converted.csv
R25BK00553912,2025년 안양천 하천시설물 정비공사(연간단가),서울특별시 금천구,조달청 또는 나라장터 자체 공고건,2025년 안양천 하천시설물 정비공사(연간단가),"2025년,안양천,하천시설물,정비공사,연간단가",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['2025년', '안양천', '하천시설물', '정비공사', '연간단가']",bid_list_converted.csv
R25BK00554098,인천박문초등학교 미래교실(어학실) 구축 공사 수의계약 견적제출 안내 공고,인천광역시동부교육청 박문초등학교,조달청 또는 나라장터 자체 공고건,인천박문초등학교 미래교실(어학실) 구축 공사 수의계약 견적제출 안내 공고,"인천박문초등학교,미래교실,어학실,구축,공사,수의계약,견적제출,안내,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['인천박문초등학교', '미래교실', '어학실', '구축', '공사', '수의계약', '견적제출', '안내', '공고']",bid_list_converted.csv
R25BK00554134,송림네거리 교차로 개선공사,경상북도 구미시,조달청 또는 나라장터 자체 공고건,송림네거리 교차로 개선공사,"송림네거리,교차로,개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['송림네거리', '교차로', '개선공사']",bid_list_converted.csv
R25BK00553579,서일초등학교 교직원쉼공간(다온뜨락) 및 늘봄지원실 석면철거 공사 수의계약 안내공고,광주광역시동부교육청 서일초등학교,조달청 또는 나라장터 자체 공고건,서일초등학교 교직원쉼공간(다온뜨락) 및 늘봄지원실 석면철거 공사 수의계약 안내공고,"서일초등학교,교직원쉼공간,다온뜨락,늘봄지원실,석면철거,공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 12:00:00,"['서일초등학교', '교직원쉼공간', '다온뜨락', '늘봄지원실', '석면철거', '공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00554391,[긴급]덕원여자고등학교 고교학점제 공간조성사업 건축공사,서울특별시교육청 덕원여자고등학교,조달청 또는 나라장터 자체 공고건,[긴급]덕원여자고등학교 고교학점제 공간조성사업 건축공사,"긴급,덕원여자고등학교,고교학점제,공간조성사업,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-14 14:00:00,"['긴급', '덕원여자고등학교', '고교학점제', '공간조성사업', '건축공사']",bid_list_converted.csv
R25BK00554299,공대4호관 노후 분전반 교체공사,전북대학교,조달청 또는 나라장터 자체 공고건,공대4호관 노후 분전반 교체공사,"공대4호관,노후,분전반,교체공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['공대4호관', '노후', '분전반', '교체공사']",bid_list_converted.csv
R25BK00554395, 2025년 권선구 상반기 하수도 유지관리공사(1권역 및 권선구 관내),경기도 수원시 권선구,조달청 또는 나라장터 자체 공고건, 2025년 권선구 상반기 하수도 유지관리공사(1권역 및 권선구 관내),"2025년,권선구,상반기,하수도,유지관리공사,1권역,관내",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 14:00:00,"['2025년', '권선구', '상반기', '하수도', '유지관리공사', '1권역', '관내']",bid_list_converted.csv
R25BK00553777,목포정명여자중학교 김영순홀 실내 벽체 보수공사,전라남도목포교육청 목포정명여자중학교,조달청 또는 나라장터 자체 공고건,목포정명여자중학교 김영순홀 실내 벽체 보수공사,"목포정명여자중학교,김영순홀,실내,벽체,보수공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 12:00:00,"['목포정명여자중학교', '김영순홀', '실내', '벽체', '보수공사']",bid_list_converted.csv
20241241144,한광중 교실 특별교실 출입문 및 중연창 교체 공사,경기도평택교육청 한광중학교,조달청 또는 나라장터 자체 공고건,한광중 교실 특별교실 출입문 및 중연창 교체 공사,"한광중,교실,특별교실,출입문,중연창,교체,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-09 12:00:00,"['한광중', '교실', '특별교실', '출입문', '중연창', '교체', '공사']",bid_list_converted.csv
R25BK00554546,구미시 선산읍 원리 738-4번지 일원 복구공사,경상북도 구미시,조달청 또는 나라장터 자체 공고건,구미시 선산읍 원리 738-4번지 일원 복구공사,"구미시,선산읍,원리,738,4번지,일원,복구공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-14 13:10:00,"['구미시', '선산읍', '원리', '738', '4번지', '일원', '복구공사']",bid_list_converted.csv
R25BK00554507,동암고등학교 예술놀이터 조성 공사,전북특별자치도교육청 동암고등학교,조달청 또는 나라장터 자체 공고건,동암고등학교 예술놀이터 조성 공사,"동암고등학교,예술놀이터,조성,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 12:00:00,"['동암고등학교', '예술놀이터', '조성', '공사']",bid_list_converted.csv
R25BK00554619,(국립대육성)물리학 실험실 환경개선공사(건축),전북대학교,조달청 또는 나라장터 자체 공고건,(국립대육성)물리학 실험실 환경개선공사(건축),"국립대육성,물리학,실험실,환경개선공사,건축",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['국립대육성', '물리학', '실험실', '환경개선공사', '건축']",bid_list_converted.csv
R25BK00553949,송서1리도시계획도로(소3-18)개설공사,경상북도 청도군,조달청 또는 나라장터 자체 공고건,송서1리도시계획도로(소3-18)개설공사,"송서1리도시계획도로,소3,18,개설공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['송서1리도시계획도로', '소3', '18', '개설공사']",bid_list_converted.csv
R25BK00554498,충북대 중앙도서관 1관 열람실 환경개선공사,충북대학교,조달청 또는 나라장터 자체 공고건,충북대 중앙도서관 1관 열람실 환경개선공사,"충북대,중앙도서관,1관,열람실,환경개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['충북대', '중앙도서관', '1관', '열람실', '환경개선공사']",bid_list_converted.csv
R25BK00554146,고천파크루체어린이집 리모델링공사,경기도 의왕시,조달청 또는 나라장터 자체 공고건,고천파크루체어린이집 리모델링공사,"고천파크루체어린이집,리모델링공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 12:00:00,"['고천파크루체어린이집', '리모델링공사']",bid_list_converted.csv
R25BK00554044,영일고등학교 다목적강당 전면보수 건축공사 입찰 안내 공고 (긴급),경상북도교육청 영일고등학교,조달청 또는 나라장터 자체 공고건,영일고등학교 다목적강당 전면보수 건축공사 입찰 안내 공고 (긴급),"영일고등학교,다목적강당,전면보수,건축공사,입찰,안내,공고,긴급",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['영일고등학교', '다목적강당', '전면보수', '건축공사', '입찰', '안내', '공고', '긴급']",bid_list_converted.csv
R25BK00554820,영일고등학교 다목적강당 전면보수 전기공사 입찰 안내 공고 (긴급),경상북도교육청 영일고등학교,조달청 또는 나라장터 자체 공고건,영일고등학교 다목적강당 전면보수 전기공사 입찰 안내 공고 (긴급),"영일고등학교,다목적강당,전면보수,전기공사,입찰,안내,공고,긴급",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['영일고등학교', '다목적강당', '전면보수', '전기공사', '입찰', '안내', '공고', '긴급']",bid_list_converted.csv
R25BK00554784,2025년 권선구 상반기 하수도 유지관리공사(3권역 및 권선구 관내),경기도 수원시 권선구,조달청 또는 나라장터 자체 공고건,2025년 권선구 상반기 하수도 유지관리공사(3권역 및 권선구 관내),"2025년,권선구,상반기,하수도,유지관리공사,3권역,관내",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 15:00:00,"['2025년', '권선구', '상반기', '하수도', '유지관리공사', '3권역', '관내']",bid_list_converted.csv
R25BK00554740," 수원캠퍼스 어울림관/예학관, 복지관세미나실 냉난방시스템 구매설치",경기대학교,조달청 또는 나라장터 자체 공고건," 수원캠퍼스 어울림관/예학관, 복지관세미나실 냉난방시스템 구매설치","수원캠퍼스,어울림관,예학관,복지관세미나실,냉난방시스템,구매설치",https://www.data.go.kr/data/15129394/openapi.do#/,,"['수원캠퍼스', '어울림관', '예학관', '복지관세미나실', '냉난방시스템', '구매설치']",bid_list_converted.csv
R25BK00554865,영일고등학교 다목적강당 전면보수 기계설비공사 입찰 안내 공고 (긴급),경상북도교육청 영일고등학교,조달청 또는 나라장터 자체 공고건,영일고등학교 다목적강당 전면보수 기계설비공사 입찰 안내 공고 (긴급),"영일고등학교,다목적강당,전면보수,기계설비공사,입찰,안내,공고,긴급",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['영일고등학교', '다목적강당', '전면보수', '기계설비공사', '입찰', '안내', '공고', '긴급']",bid_list_converted.csv
R25BK00554675,상주시 K-U시티 이차전지 인력양성센터 리모델링 건축공사,한국폴리텍VI대학영주캠퍼스,조달청 또는 나라장터 자체 공고건,상주시 K-U시티 이차전지 인력양성센터 리모델링 건축공사,"상주시,U시티,이차전지,인력양성센터,리모델링,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['상주시', 'U시티', '이차전지', '인력양성센터', '리모델링', '건축공사']",bid_list_converted.csv
R25BK00554717,하남고등학교 라동 내진보강 및 창호교체 공사,경기도교육청 하남고등학교,조달청 또는 나라장터 자체 공고건,하남고등학교 라동 내진보강 및 창호교체 공사,"하남고등학교,라동,내진보강,창호교체,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 14:00:00,"['하남고등학교', '라동', '내진보강', '창호교체', '공사']",bid_list_converted.csv
R25BK00554331,(긴급)동원고등학교 고교학점제 공간조성공사,경기도교육청 동원동우고등학교,조달청 또는 나라장터 자체 공고건,(긴급)동원고등학교 고교학점제 공간조성공사,"긴급,동원고등학교,고교학점제,공간조성공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['긴급', '동원고등학교', '고교학점제', '공간조성공사']",bid_list_converted.csv
R25BK00554321,경주정보고등학교 학내전산망 환경개선 정보통신공사 입찰공고,경상북도교육청 경상북도경주교육지원청,조달청 또는 나라장터 자체 공고건,경주정보고등학교 학내전산망 환경개선 정보통신공사 입찰공고,"경주정보고등학교,학내전산망,환경개선,정보통신공사,입찰공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-14 13:10:00,"['경주정보고등학교', '학내전산망', '환경개선', '정보통신공사', '입찰공고']",bid_list_converted.csv
R25BK00554986,청담고등학교 급식소 현대화사업에 따른 건축공사,경기도교육청 청담고등학교,조달청 또는 나라장터 자체 공고건,청담고등학교 급식소 현대화사업에 따른 건축공사,"청담고등학교,급식소,현대화사업에,따른,건축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['청담고등학교', '급식소', '현대화사업에', '따른', '건축공사']",bid_list_converted.csv
R25BK00553960,풍산고등학교 미래형 컴퓨터 교육실 구축공사,경상북도교육청 풍산고등학교,조달청 또는 나라장터 자체 공고건,풍산고등학교 미래형 컴퓨터 교육실 구축공사,"풍산고등학교,미래형,컴퓨터,교육실,구축공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['풍산고등학교', '미래형', '컴퓨터', '교육실', '구축공사']",bid_list_converted.csv
R25BK00553655,성지송학중학교 내진보강(치장벽돌보강) 공사,전라남도영광교육청 성지송학중학교,조달청 또는 나라장터 자체 공고건,성지송학중학교 내진보강(치장벽돌보강) 공사,"성지송학중학교,내진보강,치장벽돌보강,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['성지송학중학교', '내진보강', '치장벽돌보강', '공사']",bid_list_converted.csv
R25BK00555029,2024. 나주상업고등학교 배수로 및 우천로 보수공사,전라남도교육청 나주상업고등학교,조달청 또는 나라장터 자체 공고건,2024. 나주상업고등학교 배수로 및 우천로 보수공사,"2024,나주상업고등학교,배수로,우천로,보수공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['2024', '나주상업고등학교', '배수로', '우천로', '보수공사']",bid_list_converted.csv
R25BK00555285,2025년 가로보안등 단가유지보수공사(제1구역),충청북도 단양군,조달청 또는 나라장터 자체 공고건,2025년 가로보안등 단가유지보수공사(제1구역),"2025년,가로보안등,단가유지보수공사,제1구역",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['2025년', '가로보안등', '단가유지보수공사', '제1구역']",bid_list_converted.csv
R25BK00555210,혁신지원사업 현장미러형 실습환경(방사선학과) 구축 공사,광주보건대학 산학협력단,조달청 또는 나라장터 자체 공고건,혁신지원사업 현장미러형 실습환경(방사선학과) 구축 공사,"혁신지원사업,현장미러형,실습환경,방사선학과,구축,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-21 14:00:00,"['혁신지원사업', '현장미러형', '실습환경', '방사선학과', '구축', '공사']",bid_list_converted.csv
R25BK00554424,제2창업보육센터 환경개선 공사(건축),연세대학교 미래캠퍼스,조달청 또는 나라장터 자체 공고건,제2창업보육센터 환경개선 공사(건축),"제2창업보육센터,환경개선,공사,건축",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-09 10:00:00,"['제2창업보육센터', '환경개선', '공사', '건축']",bid_list_converted.csv
R25BK00553445,군도3호선(용포지구) 선형개선공사,전북특별자치도 무주군,조달청 또는 나라장터 자체 공고건,군도3호선(용포지구) 선형개선공사,"군도3호선,용포지구,선형개선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-22 10:00:00,"['군도3호선', '용포지구', '선형개선공사']",bid_list_converted.csv
R25BK00554543,[긴급] 영만초 외 1교(이리부천초) 바닥 수선공사,전북특별자치도교육청 전북특별자치도익산교육지원청,조달청 또는 나라장터 자체 공고건,[긴급] 영만초 외 1교(이리부천초) 바닥 수선공사,"긴급,영만초,1교,이리부천초,바닥,수선공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['긴급', '영만초', '1교', '이리부천초', '바닥', '수선공사']",bid_list_converted.csv
R25BK00554078,동광양중 조리실 환기설비 개선 전기공사,전라남도교육청 전라남도광양교육지원청,조달청 또는 나라장터 자체 공고건,동광양중 조리실 환기설비 개선 전기공사,"동광양중,조리실,환기설비,개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['동광양중', '조리실', '환기설비', '개선', '전기공사']",bid_list_converted.csv
R25BK00554628,(긴급) 두원공고 실습동 석면해체제거 공사,경기도교육청 두원공업고등학교,조달청 또는 나라장터 자체 공고건,(긴급) 두원공고 실습동 석면해체제거 공사,"긴급,두원공고,실습동,석면해체제거,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['긴급', '두원공고', '실습동', '석면해체제거', '공사']",bid_list_converted.csv
R25BK00554791,(긴급) 두원공고 실습동 무석면텍스 설치 공사,경기도교육청 두원공업고등학교,조달청 또는 나라장터 자체 공고건,(긴급) 두원공고 실습동 무석면텍스 설치 공사,"긴급,두원공고,실습동,무석면텍스,설치,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['긴급', '두원공고', '실습동', '무석면텍스', '설치', '공사']",bid_list_converted.csv
R25BK00554987,광양하이텍고 조리실 환기설비 개선 전기공사,전라남도교육청 전라남도광양교육지원청,조달청 또는 나라장터 자체 공고건,광양하이텍고 조리실 환기설비 개선 전기공사,"광양하이텍고,조리실,환기설비,개선,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['광양하이텍고', '조리실', '환기설비', '개선', '전기공사']",bid_list_converted.csv
R25BK00554957,경일중학교 교실재배치 및 기타공사 수의계약 견적 공고,부산광역시교육청 부산광역시북부교육지원청 경일중학교,조달청 또는 나라장터 자체 공고건,경일중학교 교실재배치 및 기타공사 수의계약 견적 공고,"경일중학교,교실재배치,기타공사,수의계약,견적,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['경일중학교', '교실재배치', '기타공사', '수의계약', '견적', '공고']",bid_list_converted.csv
R25BK00555257,경일중학교 교실재배치 및 기타공사 전기공사 수의계약 견적제출 안내 공고,부산광역시교육청 부산광역시북부교육지원청 경일중학교,조달청 또는 나라장터 자체 공고건,경일중학교 교실재배치 및 기타공사 전기공사 수의계약 견적제출 안내 공고,"경일중학교,교실재배치,기타공사,전기공사,수의계약,견적제출,안내,공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['경일중학교', '교실재배치', '기타공사', '전기공사', '수의계약', '견적제출', '안내', '공고']",bid_list_converted.csv
R25BK00554991,영일고등학교 다목적강당 전면보수 소방공사 소액수의 견적제출 안내 공고 (긴급),경상북도교육청 영일고등학교,조달청 또는 나라장터 자체 공고건,영일고등학교 다목적강당 전면보수 소방공사 소액수의 견적제출 안내 공고 (긴급),"영일고등학교,다목적강당,전면보수,소방공사,소액수의,견적제출,안내,공고,긴급",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['영일고등학교', '다목적강당', '전면보수', '소방공사', '소액수의', '견적제출', '안내', '공고', '긴급']",bid_list_converted.csv
R25BK00555400,내동초등학교 별관동 환경개선공사 수의계약 안내공고,경상남도진주교육청 내동초등학교,조달청 또는 나라장터 자체 공고건,내동초등학교 별관동 환경개선공사 수의계약 안내공고,"내동초등학교,별관동,환경개선공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 14:00:00,"['내동초등학교', '별관동', '환경개선공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00554884,상경중학교 꿈담교실 리모델링공사,서울특별시북부교육청 상경중학교,조달청 또는 나라장터 자체 공고건,상경중학교 꿈담교실 리모델링공사,"상경중학교,꿈담교실,리모델링공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['상경중학교', '꿈담교실', '리모델링공사']",bid_list_converted.csv
R25BK00555174,광양중앙초 급식실 증축 전기공사,전라남도교육청 전라남도광양교육지원청,조달청 또는 나라장터 자체 공고건,광양중앙초 급식실 증축 전기공사,"광양중앙초,급식실,증축,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['광양중앙초', '급식실', '증축', '전기공사']",bid_list_converted.csv
R25BK00555615,"강릉캠퍼스 첨단강의실(중,대형) 인테리어 전기공사",강릉원주대학교,조달청 또는 나라장터 자체 공고건,"강릉캠퍼스 첨단강의실(중,대형) 인테리어 전기공사","강릉캠퍼스,첨단강의실,대형,인테리어,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-09 10:00:00,"['강릉캠퍼스', '첨단강의실', '대형', '인테리어', '전기공사']",bid_list_converted.csv
R25BK00555670,청담고등학교 급식소 현대화사업에 따른 기계공사,경기도교육청 청담고등학교,조달청 또는 나라장터 자체 공고건,청담고등학교 급식소 현대화사업에 따른 기계공사,"청담고등학교,급식소,현대화사업에,따른,기계공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['청담고등학교', '급식소', '현대화사업에', '따른', '기계공사']",bid_list_converted.csv
R25BK00553643,강원외고 도서관 감성디자인 리모델링 공사,강원특별자치도교육청 강원외국어고등학교,조달청 또는 나라장터 자체 공고건,강원외고 도서관 감성디자인 리모델링 공사,"강원외고,도서관,감성디자인,리모델링,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['강원외고', '도서관', '감성디자인', '리모델링', '공사']",bid_list_converted.csv
R25BK00554033,천전초등학교 노후 보도블럭 교체 및 본관 현관 바닥 보수 공사 수의계약 안내공고,경상남도진주교육청 천전초등학교,조달청 또는 나라장터 자체 공고건,천전초등학교 노후 보도블럭 교체 및 본관 현관 바닥 보수 공사 수의계약 안내공고,"천전초등학교,노후,보도블럭,교체,본관,현관,바닥,보수,공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 15:00:00,"['천전초등학교', '노후', '보도블럭', '교체', '본관', '현관', '바닥', '보수', '공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00555416,광영초 후관동 내진 보강 전기공사,전라남도교육청 전라남도광양교육지원청,조달청 또는 나라장터 자체 공고건,광영초 후관동 내진 보강 전기공사,"광영초,후관동,내진,보강,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['광영초', '후관동', '내진', '보강', '전기공사']",bid_list_converted.csv
R25BK00555324,구미역 청년거점공간 조성공사(기계설비),경상북도 구미시,조달청 또는 나라장터 자체 공고건,구미역 청년거점공간 조성공사(기계설비),"구미역,청년거점공간,조성공사,기계설비",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['구미역', '청년거점공간', '조성공사', '기계설비']",bid_list_converted.csv
R25BK00555517,소방서~원뜰간(대로1-10호) 도로개설공사(1공구),충청북도 제천시,조달청 또는 나라장터 자체 공고건,소방서~원뜰간(대로1-10호) 도로개설공사(1공구),"소방서,원뜰간,대로1,10호,도로개설공사,1공구",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['소방서', '원뜰간', '대로1', '10호', '도로개설공사', '1공구']",bid_list_converted.csv
R25BK00554345,양명고 공간조성사업 전기공사,경기도교육청 양명고등학교,조달청 또는 나라장터 자체 공고건,양명고 공간조성사업 전기공사,"양명고,공간조성사업,전기공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['양명고', '공간조성사업', '전기공사']",bid_list_converted.csv
R25BK00554003,"양명고 공간조성사업 건축,기계 공사",경기도교육청 양명고등학교,조달청 또는 나라장터 자체 공고건,"양명고 공간조성사업 건축,기계 공사","양명고,공간조성사업,건축,기계,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-13 10:00:00,"['양명고', '공간조성사업', '건축', '기계', '공사']",bid_list_converted.csv
R25BK00556008,사천중학교 복싱장 철거 및 외부환경개선공사 수의계약 안내공고,경상남도교육청 경상남도사천교육지원청,조달청 또는 나라장터 자체 공고건,사천중학교 복싱장 철거 및 외부환경개선공사 수의계약 안내공고,"사천중학교,복싱장,철거,외부환경개선공사,수의계약,안내공고",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['사천중학교', '복싱장', '철거', '외부환경개선공사', '수의계약', '안내공고']",bid_list_converted.csv
R25BK00555100,명진고등학교 AI팩토리(미래교실) 구축 공사,광주광역시교육청 명진고등학교,조달청 또는 나라장터 자체 공고건,명진고등학교 AI팩토리(미래교실) 구축 공사,"명진고등학교,AI팩토리,미래교실,구축,공사",https://www.data.go.kr/data/15129394/openapi.do#/,2025-01-10 10:00:00,"['명진고등학교', 'AI팩토리', '미래교실', '구축', '공사']",bid_list_converted.csv
